CustomerID,age,salary_k,tenure_years,number_of_logins,complaints,engagement_score,subscription_type,region,device_type,signup_date,last_active_date,churn
CUST_3C8BC3F3,26.46615630216591,20.201205580325336,3.18,19,2,16.56,Basic,Canada,Web,2020-07-21,2024-06-25,0
CUST_7FBF6AA9,43.8787864719155,20.2553651090376,0.1,23,2,14.81,Standard,India,Mobile,2022-01-15,2024-01-26,0
CUST_F79A586A,19.75663546441077,23.681090719711882,1.6,13,0,11.03,Standard,India,Web,2018-08-10,2024-04-05,0
CUST_55E9B267,26.690288239127682,33.942366341134004,5.1,17,2,20.57,Standard,USA,Mobile,2022-11-30,2024-05-10,0
CUST_B9BCD0A0,40.83269427242499,60.77451191006271,1.47,19,1,16.14,Standard,Germany,Web,2022-11-16,2024-02-28,0
CUST_6C84C9EA,44.35920431327903,27.953509822917233,2.77,20,3,15.99,Standard,USA,Mobile,2016-01-27,2024-02-29,0
CUST_C53C0F98,39.701934312041594,22.084625025486762,,32,1,18.71,Basic,India,Smart TV,2020-06-21,2024-04-18,0
CUST_407461CD,36.311174195867494,22.93730532747605,1.62,25,1,16.32,Basic,USA,Web,2018-04-04,2024-12-22,0
CUST_6AC9184A,36.24935242703944,27.41374627422574,7.88,18,3,24.61,Standard,USA,Mobile,2017-02-17,2024-09-19,0
CUST_6AE6C93E,25.071123656701495,16.959976645757315,2.51,17,1,10.81,Basic,Germany,Mobile,2024-09-14,2024-11-12,0
CUST_49963C85,33.74819095017939,25.615351329880497,6.97,21,3,22.27,Standard,Germany,Web,2018-12-14,2024-11-18,0
CUST_5552A936,34.99121092498241,29.138484369412875,6.97,20,1,20.84,Standard,India,Mobile,2016-09-25,2024-09-18,0
CUST_16F0A88B,48.312691019274844,26.84902443077055,8.66,21,1,28.59,Standard,India,Web,2019-01-21,2024-03-23,0
CUST_95775174,40.828252032463354,33.65915740294816,6.77,23,3,26.23,Standard,USA,Web,2022-08-25,2024-08-27,0
CUST_C3E92376,22.791510410184728,27.832378031935978,0.01,27,1,11.38,Basic,USA,Web,2021-10-20,2024-12-05,0
CUST_A393A133,42.347833356663685,11.845142436218223,8.15,24,2,27.02,Basic,India,Mobile,2016-05-24,2024-11-14,0
CUST_7C98A83C,34.96465361028674,33.4086602894914,0.44,30,4,15.72,Basic,USA,Mobile,2018-02-24,2024-05-05,1
CUST_CF2D8CF6,32.48333430650277,20.042492735047734,0.12,35,1,20.85,Basic,India,Web,2017-01-23,2024-03-21,1
CUST_36C5CB2A,41.1943426364688,15.875264525092435,0.17,26,5,12.65,Basic,USA,Mobile,2024-02-04,2024-04-30,1
CUST_655E1A36,46.80232368239332,15.21597428868779,1.29,23,5,17.2,Basic,USA,Mobile,2021-09-08,2024-06-09,1
CUST_3CE105CA,46.54678545791246,33.67839782557951,2.91,26,2,12.71,Standard,Germany,Smart TV,2023-11-18,2024-04-26,0
CUST_8255B68A,30.69635220044433,22.651076826312625,1.54,13,1,11.56,Standard,India,Mobile,2020-12-01,2024-01-24,0
CUST_41967667,33.99833970743775,11.789145865493463,0.08,19,5,6.96,Basic,Germany,Web,2018-03-11,2024-08-15,1
CUST_FCF34CC2,41.11796774311154,32.13069646353308,1.94,23,1,15.13,Standard,India,Mobile,2019-10-22,2024-09-28,0
CUST_4B1083E4,44.25716524885265,13.467425570237397,1.75,26,0,14.68,Basic,India,Mobile,2016-02-18,2024-06-27,0
CUST_CF3AE7CA,33.804863350673045,28.163637214714935,4.24,27,1,21.48,Basic,India,Mobile,2024-04-29,2024-11-16,0
CUST_A257418E,36.2885047358936,27.21935652342755,0.98,21,3,11.92,Standard,USA,Web,2015-04-26,2024-07-19,0
CUST_E6A82D67,30.03640156453927,36.866438313652665,0.74,14,6,7.01,Basic,USA,Mobile,2020-03-16,2024-08-10,1
CUST_86AF2A40,28.542208015324203,54.4520134973645,0.89,19,0,11.16,Premium,USA,Mobile,2021-06-21,2024-08-31,0
CUST_07E4F9D6,44.39069635691351,13.147820786192575,1.09,23,5,13.97,Basic,UK,Mobile,2022-05-14,2024-06-22,1
CUST_DA5B33E3,49.05953031049524,24.538883014998063,2.74,12,3,9.14,Standard,Canada,Smart TV,2023-08-10,2024-08-07,0
CUST_F8555FEE,38.103273819180934,,1.91,22,7,12.83,Basic,Germany,Web,2019-05-31,2024-10-30,1
CUST_769E0373,50.37545581194533,33.02047543548931,1.23,20,4,15.24,Standard,Germany,Mobile,2020-08-28,2024-05-26,0
CUST_19A4AE05,42.853224403590396,29.646851056824886,,16,4,10.69,Standard,India,Mobile,2018-11-22,2024-12-23,0
CUST_A8EE228D,32.447653018622844,22.09114325830317,1.39,18,1,11.92,Standard,UK,Smart TV,2018-05-08,2024-09-19,0
CUST_A3C2F88D,40.45991875099444,19.545299820386756,10.0,18,1,27.29,Standard,UK,Mobile,2018-07-02,2024-07-30,0
CUST_19C65611,53.58931843291767,15.160502126349982,0.8,15,4,9.35,Basic,USA,Mobile,2022-03-08,2024-03-13,1
CUST_FD90FA12,36.41618852797166,40.01702281041857,5.11,22,4,20.08,Standard,Canada,Mobile,2016-01-06,2024-04-18,0
CUST_A91EC067,54.39013839284355,33.30496926247404,3.7,21,2,19.04,Standard,UK,Mobile,2020-05-06,2024-08-07,0
CUST_B3516A3B,20.323010936374057,38.50520608659917,0.02,17,2,7.56,Standard,USA,Mobile,2019-01-02,2024-10-29,0
CUST_B31B261D,45.868902824271224,22.96892926091138,10.0,20,3,29.49,Basic,USA,Web,2022-07-01,2024-01-31,0
CUST_AD524513,40.01197967945427,19.083182119161854,4.24,21,0,23.06,Basic,USA,Mobile,2019-11-28,2024-08-05,0
CUST_5CD945AB,34.500463175855934,15.751021206367758,3.44,22,0,18.91,Basic,USA,Mobile,2015-06-14,2024-06-27,0
CUST_221ACEA8,37.92758240989675,31.02646343836905,1.56,16,2,10.71,Basic,UK,Web,2019-12-01,2024-12-04,0
CUST_89659436,20.245230970390985,16.60259174134923,2.43,17,2,13.43,Basic,India,Web,2022-07-11,2024-05-28,0
CUST_2515B0D2,38.200080648826244,57.66827913776821,0.88,21,4,14.59,Standard,India,Mobile,2022-02-24,2024-03-15,1
CUST_B31A71D2,40.01394623918677,13.116587901204852,0.11,25,3,10.52,Basic,India,Web,2020-09-09,2024-04-30,0
CUST_B03D4C17,50.88669471102062,28.236902279893194,5.42,11,1,16.3,Standard,UK,Smart TV,2024-06-26,2024-05-08,0
CUST_B7C7E0C3,32.197820942507505,50.5712577228953,6.8,16,0,21.64,Premium,USA,Mobile,2021-02-08,2024-01-06,0
CUST_7201B228,31.554301266874845,32.17721176656324,0.53,20,2,11.39,Standard,UK,Web,2015-06-11,2024-02-22,0
CUST_51E4E36A,32.07237970467184,26.427716712950993,4.64,14,5,15.17,Basic,India,Smart TV,2016-05-25,2024-08-12,0
CUST_8F217F48,44.828228755053786,16.34518408532996,4.05,29,3,22.12,Basic,USA,Mobile,2019-11-15,2024-12-25,0
CUST_BC6DFFAD,41.21738795046488,13.105153114330795,0.59,13,1,3.86,Basic,USA,Mobile,2018-07-27,2024-03-16,0
CUST_89118890,34.82518535530823,35.44726993116533,1.64,18,2,13.47,Standard,USA,Web,2017-03-03,2024-05-01,0
CUST_2116D5F6,44.62372247499587,,1.65,15,1,9.15,Premium,Germany,Mobile,2016-01-25,2024-03-13,0
CUST_5FF149F5,37.728737701403524,20.658032747537884,4.28,19,1,21.83,Basic,India,Mobile,2017-03-08,2024-03-16,0
CUST_CD067786,46.46811956520321,15.803494868528265,5.45,24,3,22.94,Basic,USA,Mobile,2023-06-30,2024-04-27,0
CUST_862C8073,33.96620354147079,8.764661235589461,0.3,20,3,8.55,Basic,Canada,Web,2015-06-28,2024-05-05,1
CUST_070A0E7E,35.93162587568522,16.669473646130683,2.48,31,2,17.45,Basic,USA,Mobile,2022-11-16,2024-12-08,0
CUST_F94FB604,34.10319708095077,24.055897870022132,4.3,21,2,18.54,Standard,Germany,Mobile,2021-09-21,2024-06-03,0
CUST_629CB1C3,23.387478496898353,55.127330248127905,4.63,15,1,17.66,Premium,UK,Mobile,2017-02-07,2024-02-14,0
CUST_76750BF8,42.49838960795522,34.39319006043256,0.48,14,3,8.87,Standard,India,Smart TV,2016-07-13,2024-06-18,0
CUST_4666B471,41.0373269068925,,2.24,21,3,13.07,Standard,USA,Mobile,2017-04-06,2024-03-08,0
CUST_6D179C77,39.34973073645768,22.86573126340408,5.85,18,0,27.16,Standard,India,Smart TV,2016-03-26,2024-06-14,0
CUST_FE486B59,35.24860683758991,18.553765271314067,1.15,22,3,15.25,Basic,USA,Web,2023-02-16,2024-02-10,0
CUST_C26F8E89,23.621586620817727,46.91180001146172,1.66,20,0,16.08,Premium,USA,Smart TV,2021-02-20,2024-09-25,1
CUST_7E1CD87C,32.863406152595104,27.61258778727004,4.89,14,0,17.47,Basic,India,Mobile,2021-12-22,2024-07-13,0
CUST_5823330A,33.85835806959541,9.103075925555162,0.28,23,3,10.04,Basic,USA,Mobile,2024-04-11,2024-08-08,1
CUST_0401E8DE,29.475505186931827,18.724512416486117,5.89,27,5,25.55,Basic,India,Mobile,2018-01-15,2024-09-13,1
CUST_A754220B,35.204688794466506,16.416099336708488,1.12,17,2,10.44,Basic,India,Web,2023-11-23,2024-09-15,0
CUST_9C8F7CDD,41.75744472706822,19.185893141274658,0.0,18,1,10.58,Basic,USA,Mobile,2015-05-02,2024-02-01,0
CUST_0BB6E55F,54.83033869528716,32.63832978428778,0.8,20,2,10.82,Standard,USA,Mobile,2016-11-25,2024-10-05,0
CUST_DC74DF45,39.21746124435695,25.113810603422117,0.28,18,0,8.99,Standard,USA,Web,2024-03-18,2024-01-22,0
CUST_7363CC95,41.49392588390245,23.87689016010555,0.29,18,2,6.02,Standard,USA,Web,2018-04-11,2024-10-09,0
CUST_4BCB3F5B,36.066757312644015,46.37901858375468,3.54,25,0,19.97,Standard,USA,Mobile,2020-01-24,2024-10-19,0
CUST_DA6FEDB2,20.88369344441791,,0.72,21,5,10.16,Basic,USA,Smart TV,2020-12-17,2024-10-25,1
CUST_D1FF6FDC,36.73960593010039,59.27788447137851,8.19,18,2,25.06,Premium,Germany,Smart TV,2017-11-25,2024-01-10,0
CUST_7B952FEC,41.52967327489358,17.48552529293957,2.18,20,2,13.8,Basic,UK,Mobile,2017-02-19,2024-07-10,0
CUST_BF34ACF9,58.73923584989072,24.798508096094288,1.85,20,1,10.96,Standard,Canada,Web,2016-03-25,2024-07-11,0
CUST_007604A9,33.27296247148398,22.63455797032799,1.71,19,3,11.86,Basic,USA,Mobile,2019-12-01,2024-03-27,0
CUST_52D63C0A,39.690458022330894,26.94089324538461,3.54,19,1,15.34,Standard,UK,Mobile,2016-04-23,2024-09-26,0
CUST_98A27462,36.71096817804617,,1.81,23,1,15.78,Standard,India,Mobile,2024-06-01,2024-09-07,0
CUST_61E9FDFE,28.917417756636148,32.402344367293104,0.41,10,2,4.21,Standard,Canada,Web,2015-04-17,2024-06-06,0
CUST_265C6D01,47.00593283122626,18.282583850267482,6.37,19,2,23.42,Basic,Germany,Web,2018-06-10,2024-11-10,0
CUST_06F2F8A4,41.15819513830307,15.104654433432058,1.68,19,3,13.92,Basic,Germany,Mobile,2023-07-17,2024-04-06,0
CUST_AC4B48DA,46.88779046595986,79.8593207787538,0.23,9,1,3.96,Standard,India,Mobile,2018-12-09,2024-12-19,0
CUST_9E199F52,31.697226774164747,20.59517050379198,2.26,15,3,11.69,Basic,Germany,Mobile,2023-01-08,2024-05-15,0
CUST_7ABBF690,48.66854160817672,35.94055125534646,3.13,22,4,17.71,Basic,USA,Mobile,2018-12-25,2024-06-25,0
CUST_EE3417D3,25.05786165162936,12.49628799791918,0.97,31,5,16.44,Basic,Canada,Mobile,2017-07-07,2024-03-25,1
CUST_F273CDD0,44.04475177570982,21.813255721455512,4.83,27,1,23.91,Standard,UK,Smart TV,2021-12-10,2024-11-03,0
CUST_172FE91F,55.70753530201744,24.566211988999846,3.32,21,1,18.93,Standard,Germany,Smart TV,2016-05-30,2024-08-23,0
CUST_F257BCB4,26.590863641074115,31.122774970527313,3.15,24,2,20.68,Standard,USA,Web,2019-07-15,2024-08-12,0
CUST_137B869B,33.28603394279392,7.0573804611760895,1.64,33,0,21.9,Basic,India,Mobile,2019-07-12,2024-03-03,0
CUST_E172816E,38.655739673786506,26.49094386116855,9.8,18,1,28.9,Basic,UK,Web,2015-03-15,2024-07-14,0
CUST_88C9610A,32.99595568952198,14.595078492830938,0.96,21,3,11.16,Basic,India,Smart TV,2020-01-07,2024-09-26,1
CUST_D9ED6998,23.23286421779932,27.81936794800906,2.59,22,2,18.69,Standard,India,Web,2021-06-21,2024-09-20,0
CUST_31C60DF3,37.41121109444535,16.307791538710973,1.11,25,8,14.6,Basic,India,Web,2022-06-03,2024-08-14,1
CUST_2A74C94B,30.64578599505629,16.173266674487085,4.1,21,4,19.43,Basic,India,Mobile,2017-05-29,2024-07-28,1
CUST_48BDF4D7,42.470302379706396,23.687392400560576,0.15,19,4,4.29,Standard,Canada,Web,2021-03-07,2024-07-21,1
CUST_0A5D1D0A,28.793418166655265,15.885792372874896,0.14,16,0,11.8,Basic,India,Mobile,2017-09-11,2024-09-21,1
CUST_6531D2F7,52.908177827043225,20.31949338574692,5.0,18,5,22.27,Basic,USA,Web,2018-01-07,2024-03-27,1
CUST_57436CE2,32.157914272037374,14.071594619492659,1.71,19,5,10.62,Basic,UK,Mobile,2018-05-06,2024-09-11,1
CUST_439C1A8C,35.93671435934678,10.98857589511469,1.25,18,1,10.81,Basic,India,Web,2016-04-18,2024-05-30,0
CUST_601D9AA9,45.57302680554428,39.58212263031709,2.81,18,0,13.56,Standard,India,Mobile,2018-05-06,2024-04-17,0
CUST_0669E0FF,25.476175344354797,13.629710773513471,3.63,25,3,16.74,Basic,Germany,Web,2017-05-08,2024-11-05,0
CUST_17B0D28D,37.525205919954345,23.69840408150463,0.67,18,2,8.68,Standard,India,Mobile,2017-10-29,2024-09-15,0
CUST_E8B39EE9,48.423751770569034,36.40970634621584,0.62,15,1,13.1,Standard,India,Smart TV,2021-08-14,2024-02-12,0
CUST_2CDAE088,23.66609872074959,19.453567462794577,9.52,20,4,29.75,Basic,Germany,Smart TV,2022-03-04,2024-10-04,1
CUST_13AB1847,38.370688638750636,18.56084741205516,2.67,23,6,19.6,Basic,UK,Web,2016-07-29,2024-09-29,1
CUST_20CF8C9E,38.28689970024556,27.121732366334665,1.48,23,3,14.38,Standard,Canada,Web,2021-01-09,2024-03-11,0
CUST_AD41BF53,44.542649001089615,40.57437212031497,4.85,16,1,13.4,Premium,India,Smart TV,2021-12-06,2024-08-04,0
CUST_79C3F146,24.364259712060047,14.672047451213903,2.23,28,2,17.92,Basic,India,Web,2022-03-19,2024-06-30,0
CUST_32B6F7D3,28.88055508915876,24.319759886730058,0.83,23,4,13.0,Basic,USA,Mobile,2021-06-16,2024-07-01,1
CUST_8D790950,42.848310805804005,11.787550538888851,0.69,23,2,12.1,Basic,UK,Mobile,2020-08-14,2024-09-04,0
CUST_6357DAAB,40.88468853142498,19.76125334770439,1.52,9,3,4.05,Standard,India,Mobile,2021-01-22,2024-02-15,0
CUST_3CBCF87C,39.638000835305995,25.99850733337088,5.9,13,3,20.03,Standard,India,Web,2024-08-29,2024-03-12,0
CUST_5BE6C672,41.41236279718114,16.157918360714216,0.19,19,1,7.95,Basic,Germany,Mobile,2021-01-24,2024-07-22,0
CUST_5788BF16,32.739154396682906,21.279228357530997,0.74,27,5,14.14,Basic,USA,Web,2017-05-02,2024-01-25,1
CUST_46261832,39.01811704172967,13.98736326072635,6.71,22,3,25.92,Basic,UK,Mobile,2015-03-13,2024-05-04,0
CUST_41F31D50,39.57528851793788,25.05404897134328,0.39,25,2,11.43,Standard,USA,Mobile,2022-02-17,2024-04-28,0
CUST_205E1F06,33.740279347523035,39.56025233133509,2.98,13,3,12.46,Premium,India,Smart TV,2017-02-16,2024-06-18,0
CUST_5B673ED3,55.92006616341391,14.84641673900476,0.72,23,2,13.72,Basic,Germany,Mobile,2017-05-02,2024-08-03,1
CUST_4D6221F2,45.719680345415966,20.223785444735288,2.79,26,1,22.58,Basic,USA,Mobile,2022-06-14,2024-07-11,0
CUST_9CE065EE,29.089343115932586,30.74262596184673,1.45,31,3,18.01,Basic,India,Mobile,2019-08-11,2024-06-27,0
CUST_BBEF126B,45.36112448459021,180.78604801384984,0.32,36,2,8.19,Standard,UK,Mobile,2018-05-01,2024-05-08,0
CUST_4B373E33,30.40435549596964,13.203890429381058,2.62,23,0,15.97,Basic,USA,Mobile,2023-02-25,2024-03-28,0
CUST_651E254C,45.8615647222905,24.002454593468475,3.45,23,2,21.54,Standard,UK,Mobile,2021-04-24,2024-12-27,0
CUST_1D6759A3,46.29082660717158,28.20081618667086,3.42,22,4,14.3,Basic,Canada,Web,2023-10-17,2024-10-15,0
CUST_229C3F56,33.09104076935954,22.465662241819675,3.04,21,3,13.7,Basic,India,Web,2024-07-10,2024-02-14,0
CUST_4B564563,45.51181717572016,7.6478292058811705,2.08,21,4,14.92,Basic,India,Mobile,2016-12-30,2024-06-23,1
CUST_37E042AE,44.60836059140099,31.30605211292661,2.2,19,3,12.79,Standard,USA,Web,2020-05-26,2024-09-14,0
CUST_9A7B3043,46.72692124044001,47.282068884869,3.03,7,2,10.86,Premium,India,Web,2016-10-23,2024-09-10,0
CUST_4FC7B11C,54.177584078583195,25.501622062962433,3.52,19,4,18.12,Basic,India,Web,2018-10-29,2024-02-19,0
CUST_E0D89D81,36.893562796462376,15.491278933839673,3.19,25,2,15.24,Basic,India,Mobile,2023-05-24,2024-02-13,0
CUST_E7437F66,33.989978667825916,19.893544815207637,2.65,36,1,25.41,Basic,UK,Web,2015-08-06,2024-04-29,0
CUST_A4919DE2,30.265009565652512,,,28,1,15.59,Standard,UK,Mobile,2016-08-21,2024-04-14,0
CUST_2693931E,32.36859642652054,38.753380574086535,0.71,22,3,16.24,Basic,India,Web,2018-06-10,2024-05-17,0
CUST_0C9F18BF,37.743658206626264,33.141975088696974,0.9,22,2,11.8,Standard,India,Smart TV,2017-09-20,2024-01-11,0
CUST_66FC787D,42.77353224498187,30.939671472235815,7.56,22,2,27.62,Standard,UK,Mobile,2015-02-28,2024-10-04,0
CUST_E5DD96AC,42.29363703143977,19.0664389441032,4.27,25,3,22.25,Basic,India,Web,2023-08-08,2024-12-26,0
CUST_F8303C0B,45.61829909273775,23.8196484313961,2.41,27,2,21.29,Basic,India,Web,2018-03-20,2024-10-28,0
CUST_A658BCA6,35.37520252580679,22.3349163971325,0.87,13,2,2.89,Standard,USA,Mobile,2021-08-08,2024-09-07,0
CUST_E3A9D365,51.831980353898516,33.9350259420861,0.35,18,3,6.55,Basic,India,Mobile,2015-03-08,2024-01-08,0
CUST_81D941EB,37.33540952867441,51.90780336456773,6.87,18,0,24.83,Standard,India,Smart TV,2016-05-16,2024-11-07,0
CUST_11C480E7,60.88478172307929,45.1453008214967,6.7,14,0,23.26,Premium,India,Smart TV,2015-04-17,2024-01-20,0
CUST_26059698,43.59972803448354,13.166218028861227,0.35,26,1,15.09,Basic,UK,Smart TV,2018-02-04,2024-05-26,0
CUST_17E4BD3E,29.259668196141806,27.80369010604498,4.79,20,2,17.07,Basic,India,Web,2017-03-03,2024-07-04,0
CUST_06EB84F8,27.10552331016487,34.95634313342486,1.78,19,2,12.44,Standard,UK,Web,2015-05-06,2024-07-10,0
CUST_A2F01F6B,44.6260005338025,,1.17,16,0,12.4,Standard,USA,Mobile,2023-04-10,2024-11-21,0
CUST_3FB131EA,34.63555313376219,20.401131524886964,4.03,17,8,15.99,Basic,India,Mobile,2022-01-21,2024-04-14,1
CUST_D7CD96DF,46.13679643800081,91.77811095051948,2.86,21,5,15.95,Standard,India,Mobile,2022-01-26,2024-04-02,0
CUST_FB3B9332,45.693111351167104,13.570902033612795,4.54,20,3,21.93,Basic,India,Mobile,2020-05-01,2024-09-12,0
CUST_8914EA6D,33.58133518910579,14.925854658211534,0.23,23,1,13.13,Basic,Germany,Smart TV,2018-06-07,2024-07-13,0
CUST_0B565687,30.754509676124144,29.77801065604048,1.15,16,1,10.48,Standard,Canada,Web,2020-04-15,2024-04-01,0
CUST_B5208F3D,24.42693164360097,70.33356368411994,1.15,16,2,11.07,Premium,India,Web,2018-10-05,2024-09-30,0
CUST_B08C67D4,34.32828950597921,17.892063690318285,,27,3,17.34,Basic,USA,Web,2022-11-30,2024-12-26,0
CUST_50939F60,46.41191205182566,21.904816444663297,2.09,19,3,13.51,Standard,UK,Mobile,2020-07-15,2024-03-29,0
CUST_202338FE,42.33130817879275,44.79673424755507,1.0,21,0,13.62,Premium,USA,Web,2022-09-11,2024-03-30,1
CUST_99152940,25.46091777149158,24.29100233571089,1.76,27,2,15.29,Standard,USA,Smart TV,2024-10-26,2024-04-21,0
CUST_E9DD1DD0,41.37060797307764,21.41485317262195,1.38,23,2,15.96,Basic,India,Mobile,2016-02-24,2024-06-14,0
CUST_35D8A469,40.66463025402791,31.94894531296406,3.99,17,0,15.67,Standard,Germany,Smart TV,2018-03-12,2024-03-28,0
CUST_305F17C1,28.277513139693266,28.769932495983007,2.78,22,2,14.94,Basic,India,Mobile,2015-08-08,2024-03-03,0
CUST_B21568EE,37.23159333501104,43.313280042888266,3.18,12,4,14.75,Standard,UK,Web,2018-07-26,2024-03-07,0
CUST_5FFE2EBA,33.285377521160754,48.031112508282625,0.71,18,1,11.12,Premium,Germany,Web,2022-08-29,2024-09-02,0
CUST_6397FEAA,28.01471707194484,28.293465847631918,1.18,31,1,18.35,Basic,UK,Smart TV,2020-04-28,2024-12-17,0
CUST_39DF63C7,42.02674758808441,28.460280326712788,0.06,24,0,13.03,Basic,UK,Web,2019-06-01,2024-07-04,0
CUST_E9B0E356,43.426241525767274,28.995379331077242,0.34,22,2,8.55,Standard,Germany,Mobile,2017-01-12,2024-07-30,0
CUST_4F930635,47.52213697760131,30.348705481899543,0.92,25,1,15.83,Standard,UK,Mobile,2016-05-24,2024-05-29,0
CUST_758E7FCE,47.83179119615201,24.622807524551682,0.2,24,3,12.12,Basic,USA,Mobile,2023-09-06,2024-02-27,0
CUST_9ED09AB0,25.927081408628958,25.000464734350704,2.77,17,4,17.18,Basic,USA,Mobile,2019-10-30,2024-05-26,1
CUST_0B499CF2,31.174081441890486,41.304721481457314,10.0,13,3,31.47,Standard,India,Web,2022-08-09,2024-07-22,0
CUST_E89EB79A,41.03558958641146,51.0867888684474,0.32,10,1,6.32,Standard,India,Mobile,2020-11-04,2024-07-01,0
CUST_8CCC77A8,45.17941291051047,13.406417608144725,5.16,29,4,25.71,Basic,USA,Mobile,2024-10-31,2024-07-18,1
CUST_E6B68FAC,39.02096368408008,24.888554743789616,0.38,22,1,12.14,Standard,USA,Web,2024-10-04,2024-03-22,0
CUST_9EC298DA,68.16220069216064,18.69326687850016,3.33,16,4,10.99,Basic,USA,Web,2019-03-22,2024-08-25,1
CUST_AD72D539,41.63824210393768,21.987060395115947,3.09,21,2,13.66,Standard,India,Web,2019-06-04,2024-12-10,0
